draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id,SApM,SLpM,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.
0,Tom,--,Aaron,3,--,,93fe7332d16c6ad9,155 lbs.,5,0,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Danny,"5' 11""",Abbadi,6,--,Orthodox,15df64c02b6b0fde,155 lbs.,4,1,4.41,3.29,38%,57%,0.0,0%,0.00,77%
0,David,"6' 0""",Abbott,14,--,Switch,b361180739bed4b0,265 lbs.,10,2,3.55,1.35,30%,38%,0.0,33%,1.07,66%
0,Shamil,"6' 3""",Abdurakhimov,4,"76.0""",Orthodox,2f5cbecbbe18bac4,235 lbs.,18,3,2.53,2.53,45%,58%,0.3,22%,1.36,77%
3,Hiroyuki,"5' 6""",Abe,14,--,Orthodox,c0ed7b208197e8de,145 lbs.,8,4,3.11,1.71,36%,63%,0.0,0%,0.00,33%
0,Daichi,"5' 11""",Abe,1,"71.0""",Orthodox,5140122c3eecd307,170 lbs.,6,5,3.53,4.20,35%,59%,0.0,50%,0.50,0%
0,Papy,"5' 11""",Abedi,3,"74.0""",Southpaw,c9f6385af6df66d7,185 lbs.,9,6,3.15,2.80,55%,48%,1.3,57%,3.47,50%
0,Ricardo,"5' 11""",Abreu,3,"73.0""",Orthodox,aa6e591c2a2cdecd,185 lbs.,5,7,3.98,3.79,31%,68%,0.7,42%,2.13,100%
0,Daniel,"5' 8""",Acacio,12,--,Orthodox,1c5879330d42255f,180 lbs.,26,8,2.85,3.52,36%,62%,0.0,20%,0.33,81%
0,Scott,"6' 0""",Adams,1,--,Southpaw,2620f3eb21c79614,225 lbs.,8,9,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Israel,"6' 4""",Adesanya,0,"80.0""",Switch,1338e2c7480bdf9e,185 lbs.,13,10,2.88,4.62,55%,66%,0.0,0%,0.00,76%
2,Sam,"6' 3""",Adkins,20,--,Orthodox,0e9869d712e81f8f,225 lbs.,7,11,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Nick,"5' 8""",Agallar,6,--,Orthodox,ebc5af72ad5a28cb,155 lbs.,24,12,4.56,0.69,11%,42%,0.0,0%,0.00,0%
1,Marcelo,"5' 10""",Aguiar,3,--,Orthodox,44aa652b181bcf68,170 lbs.,2,13,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Edwin,"5' 10""",Aguilar,16,--,,6cadc0a0ba7dc015,185 lbs.,22,14,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Jessica,"5' 3""",Aguilar,6,"63.0""",Orthodox,8f382b3baa954d2a,115 lbs.,19,15,7.13,4.23,43%,60%,0.0,50%,2.00,0%
1,Mike,"5' 9""",Aina,6,--,Orthodox,9e3dbb9c68ed5d1a,155 lbs.,12,16,6.33,2.87,33%,59%,0.0,0%,0.00,71%
0,Hitomi,"5' 4""",Akano,8,--,Southpaw,2eada40ac8801559,135 lbs.,18,17,2.58,0.59,45%,55%,0.5,0%,0.00,8%
1,Omari,"6' 0""",Akhmedov,4,"73.0""",Orthodox,16690d100f995f8f,185 lbs.,17,18,2.91,3.01,33%,57%,0.3,51%,2.89,53%
0,Yoshihiro,"5' 10""",Akiyama,6,"73.0""",Orthodox,b0550072e5f0afa7,170 lbs.,14,19,3.62,3.10,41%,57%,1.0,67%,2.29,92%
0,Razak,"6' 2""",Al-Hassan,5,--,Orthodox,38b50fd1e1b5b656,205 lbs.,11,20,3.14,3.27,39%,60%,0.0,14%,0.65,57%
0,Mostapha,"6' 2""",Al-Turk,6,"77.0""",Orthodox,1cf1310684a841f5,245 lbs.,6,21,3.61,1.36,19%,53%,0.0,0%,0.00,0%
0,Javi,"5' 6""",Alanis,3,--,,2144954270be834d,135 lbs.,0,22,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Brett,--,Albee,1,--,,9b28292abe3166d5,225 lbs.,3,23,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,John,"5' 8""",Albert,5,"68.0""",,7bd94b60d7521e4a,135 lbs.,7,24,2.82,3.05,49%,35%,6.1,0%,0.00,50%
0,Junior,"6' 3""",Albini,3,"74.0""",Orthodox,c482c8605455a213,264 lbs.,14,25,6.22,3.87,48%,54%,0.0,0%,0.00,100%
